model,detector,stream,seed,n_samples,accuracy,retrains,n_drift_events,throughput_samples_per_s,elapsed_s,latency_p50_us,latency_p95_us,latency_p99_us,latency_mean_us,true_drifts,true_positives,false_positives,missed,mean_detection_delay,penalized_detection_delay,false_positive_rate,miss_rate
sgd_logistic,adwin,sea,42,2000,0.764477014541626,0,0,1007.4115773449873,1.9852859000002354,159.75,368.82,588.928,192.67511111111108,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,adwin,sea,1337,2000,0.75734943151474,0,0,1008.799505890064,1.9825544999998783,164.85000000000002,341.75999999999993,500.01,189.59522222222225,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,adwin,sea,2024,2000,0.7658860087394714,0,0,1004.7148757331004,1.9906144999999924,165.6,370.13,521.4669999999999,192.18366666666665,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,adwin,hyperplane,42,2000,0.8170287609100342,0,0,1010.5456501872603,1.9791287999996712,163.85000000000002,356.23999999999995,524.8109999999999,189.30044444444445,2,0,0,2,,2000.0,0.0,1.0
sgd_logistic,adwin,hyperplane,1337,2000,0.8182936310768127,0,0,1016.6793361856096,1.9671886000000995,162.9,354.85999999999996,533.538,189.52255555555556,2,0,0,2,,2000.0,0.0,1.0
sgd_logistic,adwin,hyperplane,2024,2000,0.7883709073066711,0,0,1005.5462916811869,1.98896859999968,163.7,361.03999999999996,661.914,194.51266666666666,2,0,0,2,,2000.0,0.0,1.0
sgd_logistic,ddm,sea,42,2000,0.764477014541626,0,0,1014.2308762709946,1.971937600000274,166.6,347.3999999999999,485.91799999999995,188.91199999999998,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,ddm,sea,1337,2000,0.7485684156417847,2,2,1024.8876018576307,1.9514335000003484,163.35000000000002,349.705,488.514,187.2073888888889,3,0,2,3,,2000.0,1.0,1.0
sgd_logistic,ddm,sea,2024,2000,0.7658860087394714,0,0,1013.4187280490678,1.9735178999999334,165.8,345.3,501.2079999999999,191.0886111111111,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,ddm,hyperplane,42,2000,0.8170287609100342,0,0,1022.3947911028163,1.9561915000003864,164.3,369.38499999999976,524.5219999999998,189.8573888888889,2,0,0,2,,2000.0,0.0,1.0
